false(none)|54 64 113 133|gene(gene) disease(disease)|这些结果表明HIF-1α中的C1772T多态性不参与结肠直肠癌的进展或转移。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
true(none)|42 47 82 97|gene(gene) disease(disease)|这些研究结果表明GSTA1和GSTT1多态性与前列腺癌易感性，特别是吸烟者。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
true(none)|57 71 99 104|disease(disease) gene(gene)|这些研究结果表明个人对膀胱癌易感性可能由GSTM1，GSTT1和NAT2多态性调制。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
true(none)|31 36 91 102|gene(gene) disease(disease)|这些结果表明GSTT1空基因型与肺癌的风险增加相关，特别是在年轻个体中。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
false(none)|117 128 184 189|disease(disease) gene(gene)|这些结果支持以前的报告，GSTM1空基因型与适度增加的肺癌，特别是重度吸烟者的风险，建议没有作用的GSTT1和进一步研究GSTP1的需要相关联。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
true(none)|41 46 177 180|gene(gene) disease(disease)|我们得出结论，两个多态性，GSTT1 null和PON1 BB，是常见的遗传性状，构成低个人风险，但可能是总人口NHL风险，特别是暴露于NHL相关致癌物的组中的重要决定因素。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
true(none)|41 46 224 227|gene(gene) disease(disease)|我们得出结论，两个多态性，GSTT1 null和PON1 BB，是常见的遗传性状，构成低个人风险，但可能是总人口NHL风险，特别是暴露于NHL相关致癌物的组中的重要决定因素。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
false(none)|68 73 122 134|gene(gene) disease(disease)|氧化应激相关基因（CYP1A1，GSTM1，GSTT1，MPO，MnSOD）的多态性似乎不是先兆子痫的危险因素。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
true(none)|4 9 50 52|gene(gene) disease(disease)|GSTT1缺失基因型可能增加HL的风险并且与有利的预后因素相关，并且至少一个GST缺失的存在表明改善的无病生存。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
true(none)|48 53 107 124|gene(gene) disease(disease)|这项研究表明某些空GSTM1和GSTT1基因型可能与升高的结肠直肠癌的风险，可以通过两个遗传多态性和吸烟的相互作用修改。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
true(none)|21 26 106 114|gene(gene) disease(disease)|携带GSTT1 0/0基因型或GSTT1 0/0-GSTM1 0/0组合基因型的个体更易患白血病，尤其是对于男性和年轻携带者。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
true(none)|43 48 106 114|gene(gene) disease(disease)|携带GSTT1 0/0基因型或GSTT1 0/0-GSTM1 0/0组合基因型的个体更易患白血病，尤其是对于男性和年轻携带者。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
false(none)|26 31 74 78|gene(gene) disease(disease)|GSTP1基因多态性与中国人群COPD的易感性无关。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
false(none)|28 33 91 95|gene(gene) disease(disease)|GSTP1基因外显子5的遗传多态性与中国北方汉族人群的COPD易感性无关。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
false(none)|61 66 122 134|gene(gene) disease(disease)|氧化应激相关基因（CYP1A1，GSTM1，GSTT1，MPO，MnSOD）的多态性似乎不是先兆子痫的危险因素。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
true(none)|44 49 135 146|gene(gene) disease(disease)|存在易感基因型GSTM10 / 0和CYP1A1 Val / Val或CYP1A1Ile / Val的协同作用以增强个体对肺癌的易感性。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
true(none)|52 57 106 117|gene(gene) disease(disease)|这些数据表明CYP1A1和GSTM1的多态性有助于增加女性肺癌的风险。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
true(none)|19 47 136 173|gene(gene) disease(disease)|谷胱甘肽-S转移酶M1基因型0/0和基质金属蛋白酶9突变体等位基因（-15621）的组合是慢性阻塞性肺病（OR-7.7）的风险因素。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
true(none)|48 53 117 128|gene(gene) disease(disease)|这些结果支持以前的报告，GSTM1空基因型与适度增加的肺癌，特别是重度吸烟者的风险，建议没有作用的GSTT1和进一步研究GSTP1的需要相关联。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
true(none)|36 41 111 138|gene(gene) disease(disease)|本研究表明GSTM1多态性可能与增加的发展原发性开角型青光眼的风险相关。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
true(none)|29 34 85 96|gene(gene) disease(disease)|结果表明GSTM1空基因型是印度烟草习性发展的口腔癌的风险因素。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
true(none)|53 58 106 114|gene(gene) disease(disease)|携带GSTT1 0/0基因型或GSTT1 0/0-GSTM1 0/0组合基因型的个体更易患白血病，尤其是对于男性和年轻携带者。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
false(none)|74 79 98 115|gene(gene) disease(disease)|我们通过Meta分析的结果不支持GSTM1无基因型与食管癌之间的关联，但是携带GSTM1无效基因型的吸烟者可能与食管癌增加的风险相关。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
false(none)|74 79 212 229|gene(gene) disease(disease)|我们通过Meta分析的结果不支持GSTM1无基因型与食管癌之间的关联，但是携带GSTM1无效基因型的吸烟者可能与食管癌增加的风险相关。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
false(none)|98 115 145 150|disease(disease) gene(gene)|我们通过Meta分析的结果不支持GSTM1无基因型与食管癌之间的关联，但是携带GSTM1无效基因型的吸烟者可能与食管癌增加的风险相关。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
false(none)|145 150 212 229|gene(gene) disease(disease)|我们通过Meta分析的结果不支持GSTM1无基因型与食管癌之间的关联，但是携带GSTM1无效基因型的吸烟者可能与食管癌增加的风险相关。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
false(none)|28 33 74 83|gene(gene) disease(disease)|在本研究中未检测到GSTM1等位基因，包括无效等位基因和白内障之间的关联。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
true(none)|32 37 82 97|gene(gene) disease(disease)|这些研究结果表明GSTA1和GSTT1多态性与前列腺癌易感性，特别是吸烟者。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
false(none)|75 80 119 132|gene(gene) disease(disease)|因为我们的样品提供了相当高的功率，这些结果表明GSK3B可能不会在日本精神分裂症中发挥主要作用。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
true(none)|56 69 92 96|disease(disease) gene(gene)|我们得出结论，精神分裂症的至少一个易感性位点位于日本的GRM8区域内。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
true(none)|96 100 152 165|gene(gene) disease(disease)|我们的研究结果部分支持以前在其他民族的研究，表明GRM3基因可能在汉族精神分裂症的病因学中发挥重要作用。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
true(none)|45 49 131 144|gene(gene) disease(disease)|这些数据表明GRM3基因的多态性可能有用作预测的负面症状改善精神分裂症患者用奥氮平治疗。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
true(none)|61 74 115 119|disease(disease) gene(gene)|我们的数据表明精神分裂症的至少一个易感性位点位于或非常接近日本患者的GRM3区域。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
false(none)|92 96 188 201|gene(gene) disease(disease)|检查我们自己的数据和其他组的数据导致我们得出结论，目前，GRM3不应被视为一个基因，其中有重复的证据与精神分裂症相关联。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
true(none)|87 93 137 150|gene(gene) disease(disease)|这些研究结果表明GRIN1和GRIN2B基因多态性的综合影响可能参与精神分裂症的病因。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
true(none)|77 82 137 150|gene(gene) disease(disease)|这些研究结果表明GRIN1和GRIN2B基因多态性的综合影响可能参与精神分裂症的病因。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
true(none)|57 62 114 127|gene(gene) disease(disease)|在这项研究报告的关联表明GRIN1基因是精神分裂症的易感性的良好候选人。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
